Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,31,0,1969
2,88,0,1881
3,3,0,1878
4,70,0,1808
5,162,0,1646
6,143,0,1503
7,0,497,2000
8,106,0,1894
9,24,0,1870
10,137,0,1733
11,155,0,1578
12,120,0,1458
13,193,0,1265
14,0,735,2000
15,71,0,1929
16,72,0,1857
17,122,0,1735
18,94,0,1641
19,145,0,1496
20,138,0,1358
21,0,642,2000
22,86,0,1914
23,0,0,1914
24,54,0,1860
25,112,0,1748
26,118,0,1630
27,183,0,1447
28,0,553,2000
29,32,0,1968
30,168,0,1800
31,119,0,1681
32,97,0,1584
33,179,0,1405
34,93,0,1312
35,0,688,2000
36,115,0,1885
37,60,0,1825
38,194,0,1631
39,8,0,1623
40,140,0,1483
41,37,0,1446
42,0,554,2000
43,112,0,1888
44,107,0,1781
45,8,0,1773
46,198,0,1575
47,180,0,1395
48,91,0,1304
49,0,696,2000
